first_name, last_name, subject, grade
ycidpyopu, gdpa, Maths, C
ycidpyopu, gdpa, Physics, 
ycidpyopu, gdpa, Social Studies, F
ycidpyopu, gdpa, Art, B-
ycidpyopu, gdpa, Music, D
ycidpyopu, gdpa, History, 
u, mvgnxa, Maths, D+
u, mvgnxa, Physics, C-
u, mvgnxa, Social Studies, D+
u, mvgnxa, Art, C+
u, mvgnxa, Music, D-
u, mvgnxa, History, C-
nrudfuxjdx, xwqn, Maths, D+
nrudfuxjdx, xwqn, Physics, B-
nrudfuxjdx, xwqn, Social Studies, D
nrudfuxjdx, xwqn, Art, D+
nrudfuxjdx, xwqn, Music, 
nrudfuxjdx, xwqn, History, C-
mnvflrwy, lcovqdy, Maths, B+
mnvflrwy, lcovqdy, Physics, C
mnvflrwy, lcovqdy, Social Studies, 
mnvflrwy, lcovqdy, Art, 
mnvflrwy, lcovqdy, Music, B-
mnvflrwy, lcovqdy, History, D-
ha, rrhmqlsl, Maths, C-
ha, rrhmqlsl, Physics, D-
ha, rrhmqlsl, Social Studies, 
ha, rrhmqlsl, Art, C
ha, rrhmqlsl, Music, B+
ha, rrhmqlsl, History, D+
bplsr, qn, Maths, C-
bplsr, qn, Physics, C
bplsr, qn, Social Studies, A
bplsr, qn, Art, D+
bplsr, qn, Music, 
bplsr, qn, History, B
fczrzi, v, Maths, A-
fczrzi, v, Physics, A
fczrzi, v, Social Studies, A
fczrzi, v, Art, B
fczrzi, v, Music, A-
fczrzi, v, History, C+
f, fvi, Maths, D-
f, fvi, Physics, C-
f, fvi, Social Studies, C-
f, fvi, Art, 
f, fvi, Music, B-
f, fvi, History, C+
idixqgtn, ahamebxfo, Maths, F
idixqgtn, ahamebxfo, Physics, D-
idixqgtn, ahamebxfo, Social Studies, D+
idixqgtn, ahamebxfo, Art, D-
idixqgtn, ahamebxfo, Music, C-
idixqgtn, ahamebxfo, History, 
szkv, bxjegbj, Maths, A-
szkv, bxjegbj, Physics, B-
szkv, bxjegbj, Social Studies, F
szkv, bxjegbj, Art, C
szkv, bxjegbj, Music, 
szkv, bxjegbj, History, 
gsofyw, bmgldgs, Maths, D-
gsofyw, bmgldgs, Physics, D
gsofyw, bmgldgs, Social Studies, C-
gsofyw, bmgldgs, Art, D-
gsofyw, bmgldgs, Music, B-
gsofyw, bmgldgs, History, 
mjaf, kzs, Maths, B+
mjaf, kzs, Physics, C
mjaf, kzs, Social Studies, B-
mjaf, kzs, Art, C
mjaf, kzs, Music, C+
mjaf, kzs, History, C-
xbc, fr, Maths, B
xbc, fr, Physics, C+
xbc, fr, Social Studies, B-
xbc, fr, Art, C+
xbc, fr, Music, A-
xbc, fr, History, B
ry, bn, Maths, A-
ry, bn, Physics, B+
ry, bn, Social Studies, C+
ry, bn, Art, D
ry, bn, Music, A-
ry, bn, History, B
ljsrdoidzb, atvacndzb, Maths, B
ljsrdoidzb, atvacndzb, Physics, D
ljsrdoidzb, atvacndzb, Social Studies, B+
