name, subject, grade
name, subject, grade
ycidpyopu__gdpa, Mathematics, 49
ycidpyopu__gdpa, Physics, 
ycidpyopu__gdpa, Soc Studies, 89
ycidpyopu__gdpa, Art, 34
ycidpyopu__gdpa, Music, 75
ycidpyopu__gdpa, Ancient History, 
ycidpyopu__gdpa, Biology, 
ycidpyopu__gdpa, Neural Networks, 83
name, subject, grade
m__nxaqhyo, Mathematics, 63
m__nxaqhyo, Physics, 29
m__nxaqhyo, Soc Studies, 29
m__nxaqhyo, Art, 97
m__nxaqhyo, Music, 
m__nxaqhyo, Ancient History, 53
m__nxaqhyo, Biology, 82
m__nxaqhyo, Neural Networks, 23
name, subject, grade
kx__qnqvgjjspq, Mathematics, 
kx__qnqvgjjspq, Physics, 61
kx__qnqvgjjspq, Soc Studies, 95
kx__qnqvgjjspq, Art, 53
kx__qnqvgjjspq, Music, 46
kx__qnqvgjjspq, Ancient History, 89
kx__qnqvgjjspq, Biology, 11
kx__qnqvgjjspq, Neural Networks, 84
name, subject, grade
fq__lpxapbjwt, Mathematics, 75
fq__lpxapbjwt, Physics, 82
fq__lpxapbjwt, Soc Studies, 21
fq__lpxapbjwt, Art, 
fq__lpxapbjwt, Music, 98
fq__lpxapbjwt, Ancient History, 69
fq__lpxapbjwt, Biology, 29
fq__lpxapbjwt, Neural Networks, 65
name, subject, grade
sloivrtxam__xqzeqyrg, Mathematics, 
sloivrtxam__xqzeqyrg, Physics, 61
sloivrtxam__xqzeqyrg, Soc Studies, 72
sloivrtxam__xqzeqyrg, Art, 25
sloivrtxam__xqzeqyrg, Music, 52
sloivrtxam__xqzeqyrg, Ancient History, 45
sloivrtxam__xqzeqyrg, Biology, 
sloivrtxam__xqzeqyrg, Neural Networks, 68
name, subject, grade
tkotazh__rsfczrz, Mathematics, 
tkotazh__rsfczrz, Physics, 86
tkotazh__rsfczrz, Soc Studies, 
tkotazh__rsfczrz, Art, 
tkotazh__rsfczrz, Music, 96
tkotazh__rsfczrz, Ancient History, 31
tkotazh__rsfczrz, Biology, 14
tkotazh__rsfczrz, Neural Networks, 44
name, subject, grade
f__fvi, Mathematics, 82
f__fvi, Physics, 58
f__fvi, Soc Studies, 63
f__fvi, Art, 
f__fvi, Music, 39
f__fvi, Ancient History, 43
f__fvi, Biology, 24
f__fvi, Neural Networks, 13
name, subject, grade
qgtnahame__f, Mathematics, 57
qgtnahame__f, Physics, 86
qgtnahame__f, Soc Studies, 69
qgtnahame__f, Art, 80
qgtnahame__f, Music, 57
qgtnahame__f, Ancient History, 
qgtnahame__f, Biology, 50
qgtnahame__f, Neural Networks, 84
name, subject, grade
j__gb, Mathematics, 39
j__gb, Physics, 9
j__gb, Soc Studies, 38
j__gb, Art, 53
j__gb, Music, 
j__gb, Ancient History, 
j__gb, Biology, 75
j__gb, Neural Networks, 72
name, subject, grade
yw__bmgldgs, Mathematics, 86
yw__bmgldgs, Physics, 75
yw__bmgldgs, Soc Studies, 63
